[dotenv@17.2.3] injecting env (7) from .env.local -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
Loading FBS + FCS allow-list from CFBD…
(node:19948) Warning: Setting the NODE_TLS_REJECT_UNAUTHORIZED environment variable to '0' makes TLS connections and HTTPS requests insecure by disabling certificate verification.
(Use `node --trace-warnings ...` to show where the warning was created)
D1 allow-list: 265 programs (138 FBS + 127 FCS)
Loading cfb_teams from Supabase…
Teams to process: 262 (skipped 489 non-D1)
Seasons: 2010..2025 (16 per team)
Resume mode: skipping 7 teams synced in last 24h. Remaining: 255

[70/255] Hampton                        | players:  308 | total: 34586 | calls: 1120 | ETA: ~30m   
[71/255] Harvard                        | players:  209 | total: 34795 | calls: 1136 | ETA: ~30m   
[72/255] Hawai'i                        | players:  759 | total: 35554 | calls: 1152 | ETA: ~30m   
[73/255] Holy Cross                     | players:  240 | total: 35794 | calls: 1168 | ETA: ~30m   
[74/255] Houston Christian              | players:  330 | total: 36124 | calls: 1184 | ETA: ~29m   
[75/255] Houston                        | players:  787 | total: 36911 | calls: 1200 | ETA: ~29m   
[76/255] Howard                         | players:  334 | total: 37245 | calls: 1216 | ETA: ~29m   
[77/255] Idaho State                    | players:  354 | total: 37599 | calls: 1232 | ETA: ~29m   
[78/255] Idaho                          | players:  422 | total: 38021 | calls: 1248 | ETA: ~29m   
[79/255] Illinois                       | players:  697 | total: 38718 | calls: 1264 | ETA: ~29m   
[80/255] Illinois State                 | players:  329 | total: 39047 | calls: 1280 | ETA: ~28m   
[81/255] Incarnate Word                 | players:  315 | total: 39362 | calls: 1296 | ETA: ~28m   
[82/255] Indiana                        | players:  786 | total: 40148 | calls: 1312 | ETA: ~28m   
[83/255] Indiana State                  | players:  365 | total: 40513 | calls: 1328 | ETA: ~28m   
[84/255] Iowa                           | players:  703 | total: 41216 | calls: 1344 | ETA: ~28m   
[85/255] Iowa State                     | players:  792 | total: 42008 | calls: 1360 | ETA: ~28m   
[86/255] Jackson State                  | players:  371 | total: 42379 | calls: 1376 | ETA: ~27m   
[87/255] Jacksonville State             | players:  436 | total: 42815 | calls: 1392 | ETA: ~27m   
[88/255] James Madison                  | players:  387 | total: 43202 | calls: 1408 | ETA: ~27m   
[89/255] Kansas                         | players:  762 | total: 43964 | calls: 1424 | ETA: ~27m   
[90/255] Kansas State                   | players:  790 | total: 44754 | calls: 1440 | ETA: ~27m   
[91/255] Kennesaw State                 | players:  307 | total: 45061 | calls: 1456 | ETA: ~27m   
[92/255] Kent State                     | players:  697 | total: 45758 | calls: 1472 | ETA: ~26m   
[93/255] Kentucky                       | players:  789 | total: 46547 | calls: 1488 | ETA: ~26m   
[94/255] Lafayette                      | players:  232 | total: 46779 | calls: 1504 | ETA: ~26m   
[95/255] Lamar                          | players:  384 | total: 47163 | calls: 1520 | ETA: ~26m   
[96/255] Lehigh                         | players:  202 | total: 47365 | calls: 1536 | ETA: ~26m   
[97/255] Liberty                        | players:  487 | total: 47852 | calls: 1552 | ETA: ~26m   
[98/255] Lindenwood                     | players:  217 | total: 48069 | calls: 1568 | ETA: ~26m   
[99/255] Long Island University         | players:  225 | total: 48294 | calls: 1584 | ETA: ~25m   
[100/255] Louisiana                      | players:  802 | total: 49096 | calls: 1600 | ETA: ~25m   
[101/255] Louisiana Tech                 | players:  769 | total: 49865 | calls: 1616 | ETA: ~25m   
[102/255] Louisville                     | players:  795 | total: 50660 | calls: 1632 | ETA: ~25m   
[103/255] LSU                            | players:  791 | total: 51451 | calls: 1648 | ETA: ~25m   
[104/255] Maine                          | players:  334 | total: 51785 | calls: 1664 | ETA: ~25m   
[105/255] Marist                         | players:  204 | total: 51989 | calls: 1680 | ETA: ~24m   
[106/255] Marshall                       | players:  818 | total: 52807 | calls: 1696 | ETA: ~24m   
[107/255] Maryland                       | players:  729 | total: 53536 | calls: 1712 | ETA: ~24m   
[108/255] Massachusetts                  | players:  682 | total: 54218 | calls: 1728 | ETA: ~24m   
[109/255] McNeese                        | players:  378 | total: 54596 | calls: 1744 | ETA: ~24m   
[110/255] Memphis                        | players:  858 | total: 55454 | calls: 1760 | ETA: ~24m   
[111/255] Mercer                         | players:  310 | total: 55764 | calls: 1776 | ETA: ~23m   
[112/255] Mercyhurst                     | players:  140 | total: 55904 | calls: 1792 | ETA: ~23m   
[113/255] Merrimack                      | players:  207 | total: 56111 | calls: 1808 | ETA: ~23m   
[114/255] Miami (OH)                     | players:  680 | total: 56791 | calls: 1824 | ETA: ~23m   
[115/255] Miami                          | players:  778 | total: 57569 | calls: 1840 | ETA: ~23m   
[116/255] Michigan State                 | players:  675 | total: 58244 | calls: 1856 | ETA: ~23m   
[117/255] Michigan                       | players:  756 | total: 59000 | calls: 1872 | ETA: ~22m   
[118/255] Middle Tennessee               | players:  759 | total: 59759 | calls: 1888 | ETA: ~22m   
[119/255] Minnesota                      | players:  683 | total: 60442 | calls: 1904 | ETA: ~22m   
[120/255] Mississippi State              | players:  770 | total: 61212 | calls: 1920 | ETA: ~22m   
[121/255] Mississippi Valley State       | players:  254 | total: 61466 | calls: 1936 | ETA: ~22m   
[122/255] Missouri State                 | players:  337 | total: 61803 | calls: 1952 | ETA: ~22m   
[123/255] Missouri                       | players:  750 | total: 62553 | calls: 1968 | ETA: ~21m   
[124/255] Monmouth                       | players:  296 | total: 62849 | calls: 1984 | ETA: ~21m   
[125/255] Montana                        | players:  299 | total: 63148 | calls: 2000 | ETA: ~21m   
[126/255] Montana State                  | players:  301 | total: 63449 | calls: 2016 | ETA: ~21m   
[127/255] Morehead State                 | players:  238 | total: 63687 | calls: 2032 | ETA: ~21m   
[128/255] Morgan State                   | players:  383 | total: 64070 | calls: 2048 | ETA: ~21m   
[129/255] Murray State                   | players:  411 | total: 64481 | calls: 2064 | ETA: ~21m   
[130/255] Navy                           | players: 1052 | total: 65533 | calls: 2080 | ETA: ~20m   
[131/255] NC State                       | players:  758 | total: 66291 | calls: 2096 | ETA: ~20m   
[132/255] Nebraska                       | players:  868 | total: 67159 | calls: 2112 | ETA: ~20m   
[133/255] Nevada                         | players:  762 | total: 67921 | calls: 2128 | ETA: ~20m   
[134/255] New Hampshire                  | players:  297 | total: 68218 | calls: 2144 | ETA: ~20m   
[135/255] New Haven                      | players:  150 | total: 68368 | calls: 2160 | ETA: ~20m   
[136/255] New Mexico                     | players:  788 | total: 69156 | calls: 2176 | ETA: ~19m   
[137/255] New Mexico State               | players:  786 | total: 69942 | calls: 2192 | ETA: ~19m   
[138/255] Nicholls                       | players:  334 | total: 70276 | calls: 2208 | ETA: ~19m   
[139/255] Norfolk State                  | players:  334 | total: 70610 | calls: 2224 | ETA: ~19m   
[140/255] North Alabama                  | players:  260 | total: 70870 | calls: 2240 | ETA: ~19m   
[141/255] North Carolina A&T             | players:  291 | total: 71161 | calls: 2256 | ETA: ~19m   
[142/255] North Carolina Central         | players:  298 | total: 71459 | calls: 2272 | ETA: ~18m   
